Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,getJavaInstallation,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,isSameFile,8,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,getAvailableJavaVersions,9,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,getAvailableJavaInstallationLocationSteam,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,getTestSeed,12,2,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,throwInvalidJavaHomeException,4,1,4
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,assertMinimumCompilerVersion,6,2,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,findRuntimeJavaHome,7,2,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,findJavaHome,11,2,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,getJavaHomeEnvVarName,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,findDefaultParallel,42,8,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,gitInfo,61,9,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,findOriginUrl,27,6,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,readFirstLine,7,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,GitInfo,4,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,getRevision,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GlobalBuildInfoPlugin,getOrigin,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GitInfo,GitInfo,4,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GitInfo,getRevision,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,GitInfo,getOrigin,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,JavaHome,JavaHome,4,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,JavaHome,of,3,1,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,JavaHome,getVersion,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.buildtools.info,JavaHome,getJavaHome,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,SparkVariant,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,SparkVariant,9,1,6
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,getName,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,getVariantName,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,isDefaultVariant,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,getSparkVersion,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,getScalaVersion,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,getScalaMajorVersion,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,getCapability,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,shouldClassifySparkVersion,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,getSourceSetName,15,3,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,configuration,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,configuration,10,2,2
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,taskName,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,testTaskName,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,itestTaskName,3,1,0
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,getCapabilityName,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,SparkVariantPluginExtension,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,capabilityGroup,3,1,1
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,setDefaultVariant,3,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,setCoreDefaultVariant,3,1,3
elasticsearch-hadoop,org.elasticsearch.hadoop.gradle.scala,SparkVariantPlugin,setDefaultVariant,11,3,4
